scenario,label,metric,diff_t1,diff_t4,diff_t8,diff_t12
scenario_01_baseline,Baseline,Local bond rate,0,0,0,0
scenario_01_baseline,Baseline,Debt service pressure,0.00262653084574858,0.000596439497779082,-0.000297078519808334,-4.33523285044207e-05
scenario_01_baseline,Baseline,Fiscal space,-0.00264981769564641,-0.000641780812879911,0.000241600630440472,-4.25150613335284e-05
scenario_01_baseline,Baseline,Public investment,-0.000280635948540539,-0.00047048718655307,-0.000523489088401483,-0.000763852901473433
scenario_01_baseline,Baseline,Public capital,-0.000280635948540553,-0.00159903581355625,-0.0032836870737798,-0.00559975632896093
scenario_01_baseline,Baseline,Final output,-0.000303722091172798,-0.000450326902784459,-0.000410698562761547,-0.00056542016398653
scenario_01_baseline,Baseline,Private investment,-1.8614796791272e-05,3.53529276786446e-06,8.97812706872059e-05,0.000185205053088167
scenario_01_baseline,Baseline,Labor demand,-3.64092314104336e-05,-3.90399426988264e-05,-2.45046490872092e-05,-3.83398790182454e-05
scenario_01_baseline,Baseline,Inflation,-6.21885248212051e-05,-8.83701622211852e-06,1.04830155500668e-06,4.81182771316924e-06
scenario_02_risk_premium,Local debt risk premium,Local bond rate,5.37227385961625e-05,0.000670980695722356,0.00112464873062179,-0.000128181382876846
scenario_02_risk_premium,Local debt risk premium,Debt service pressure,0.00271515063516481,0.00105349122064284,-0.000253925839669986,-0.000552168646008721
scenario_02_risk_premium,Local debt risk premium,Fiscal space,-0.00272348774455441,-0.0010717700367185,9.44719617884393e-05,0.000299528876054653
scenario_02_risk_premium,Local debt risk premium,Public investment,-0.000285722849129588,-0.000754781844698224,-0.00208299723880855,-0.00255034827059299
scenario_02_risk_premium,Local debt risk premium,Public capital,-0.000285722849129755,-0.00205521389745611,-0.00770612145710858,-0.016995268386808
scenario_02_risk_premium,Local debt risk premium,Final output,-0.000202038212915978,-0.000285879391627386,-0.00109790964062551,-0.00162787725590374
scenario_02_risk_premium,Local debt risk premium,Private investment,8.20773958549736e-05,0.000426918768388851,0.000923569240485866,0.000910565702337496
scenario_02_risk_premium,Local debt risk premium,Labor demand,-2.25056149889963e-05,-1.40168722741058e-05,-9.32242132920674e-05,-0.000150493300237586
scenario_02_risk_premium,Local debt risk premium,Inflation,-5.37049290130209e-05,-3.9694700635251e-05,-6.31065121114993e-05,8.09157172416697e-05
scenario_03_transfer_buffer,Central transfer buffer,Local bond rate,0,0,0,0
scenario_03_transfer_buffer,Central transfer buffer,Debt service pressure,0.00279368764171326,0.000811979468995476,5.93935405463798e-05,-8.32949809130346e-05
scenario_03_transfer_buffer,Central transfer buffer,Fiscal space,-0.00219746322936959,-2.82849045419031e-05,0.000576304196464678,0.000526230708669487
scenario_03_transfer_buffer,Central transfer buffer,Public investment,-0.000216622654105159,-0.000269875111080758,-0.000205602074991582,-0.000190670316223607
scenario_03_transfer_buffer,Central transfer buffer,Public capital,-0.000216622654105159,-0.00101824838351527,-0.00178544006713777,-0.002362633464005
scenario_03_transfer_buffer,Central transfer buffer,Final output,-0.000220972599045743,-0.000236352518681926,-0.000158655856547951,-0.000151192176820025
scenario_03_transfer_buffer,Central transfer buffer,Private investment,2.0261448202552e-06,2.62562925900656e-05,4.05046909709439e-05,3.89002151847673e-05
scenario_03_transfer_buffer,Central transfer buffer,Labor demand,-2.76578560687024e-05,-2.05958678891754e-05,-8.54136301786657e-06,-7.74888076139624e-06
scenario_03_transfer_buffer,Central transfer buffer,Inflation,-3.68361344069701e-05,-3.78383249177716e-08,7.57917140514763e-06,4.62734761297323e-06
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Local bond rate,0.000321425258684949,0.000856432078538916,0.000197134147109423,-0.000364882759009477
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Debt service pressure,0.0026891625208051,0.000992019977941068,-0.000197895889379082,-0.00059729876873526
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Fiscal space,-0.00213529210958083,0.00132388994799164,0.00184499319095616,5.20664053181713e-05
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Public investment,-0.000211695059548489,3.619465117638e-05,0.000236968911615176,-0.000142722011501506
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Public capital,-0.000211695059548767,-0.000500674960711489,0.000467825615457773,0.000425334471116479
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Final output,-0.000227362345422977,4.76113143987877e-06,0.000180952817920521,-0.000120908371998074
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Private investment,-2.70121033812964e-06,-2.83667239099894e-05,-5.50551519856723e-05,1.96107102930498e-05
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Labor demand,-3.08540989433226e-05,2.3851486621318e-06,2.04889929088375e-05,-1.38897778756697e-05
scenario_04_risk_and_transfer,Risk premium plus transfer buffer,Inflation,-2.06532691660044e-05,2.46274487297748e-05,-9.59569921377135e-06,-1.99388921975352e-05
scenario_05_strong_io,Stronger input-output linkages,Local bond rate,0,0,0,0
scenario_05_strong_io,Stronger input-output linkages,Debt service pressure,0.00259434739855773,0.000591213901673712,-0.000295247117306871,-3.96526422499328e-05
scenario_05_strong_io,Stronger input-output linkages,Fiscal space,-0.00261545741496459,-0.000638063637101505,0.000224608709585947,-7.14845332217967e-05
scenario_05_strong_io,Stronger input-output linkages,Public investment,-0.000266310280015766,-0.000431247489675962,-0.000511613739954245,-0.000776235864073785
scenario_05_strong_io,Stronger input-output linkages,Public capital,-0.00026631028001578,-0.00148285670442938,-0.00308768575245155,-0.00543847435840394
scenario_05_strong_io,Stronger input-output linkages,Final output,-0.000289472888113984,-0.000460185597796037,-0.000509845119943009,-0.000730657932318968
scenario_05_strong_io,Stronger input-output linkages,Private investment,-1.64680525437388e-05,-2.73007347470489e-05,2.79461785179791e-06,5.52732364767494e-05
scenario_05_strong_io,Stronger input-output linkages,Labor demand,-1.887574536176e-05,-1.93567368248909e-05,-1.50124547480118e-05,-2.40881544312094e-05
scenario_05_strong_io,Stronger input-output linkages,Inflation,-1.69575149493451e-05,-1.12634483406815e-06,1.5172941376651e-06,4.67309238327829e-06
scenario_06_weak_io,Weaker input-output linkages,Local bond rate,0,0,0,0
scenario_06_weak_io,Weaker input-output linkages,Debt service pressure,0.00265377095804809,0.000598109808455072,-0.000299642395564309,-4.40054179617392e-05
scenario_06_weak_io,Weaker input-output linkages,Fiscal space,-0.00267730823520983,-0.000639928074645663,0.000254883438919606,-2.78907518125315e-05
scenario_06_weak_io,Weaker input-output linkages,Public investment,-0.000292633392613276,-0.000500149492744517,-0.000526891318214442,-0.000754909786216784
scenario_06_weak_io,Weaker input-output linkages,Public capital,-0.000292633392612984,-0.00169105484442111,-0.00341967324178016,-0.00570087849085166
scenario_06_weak_io,Weaker input-output linkages,Final output,-0.000305370945033578,-0.00042729472494718,-0.000340602689028469,-0.000474070606252375
scenario_06_weak_io,Weaker input-output linkages,Private investment,-1.28319704458257e-05,3.83102903214749e-05,0.000144015156101018,0.00024752883457646
scenario_06_weak_io,Weaker input-output linkages,Labor demand,-4.69732873327744e-05,-4.83385795599922e-05,-2.53843328716363e-05,-4.24767232006656e-05
