scenario,label,metric,low_var,high_var,low_t1,high_t1,diff_t1,low_t4,high_t4,diff_t4,low_t8,high_t8,diff_t8,low_t12,high_t12,diff_t12
scenario_01_baseline,Baseline,Local bond rate,rb1,rb2,2.82857988158636e-05,2.82857988158636e-05,0,-0.00076107092347355,-0.00076107092347355,0,-0.000376257923402346,-0.000376257923402346,0,0.000199076140829924,0.000199076140829924,0
scenario_01_baseline,Baseline,Central transfer,z1,z2,0,0,0,0,0,0,0,0,0,0,0,0
scenario_01_baseline,Baseline,Debt service pressure,ds1,ds2,0.00170709750273279,0.00433362834848136,0.00262653084574858,0.000340084194285303,0.000936523692064385,0.000596439497779082,-0.000348088081849425,-0.000645166601657759,-0.000297078519808334,-0.000173962633077827,-0.000217314961582248,-4.33523285044207e-05
scenario_01_baseline,Baseline,Fiscal space,fs1,fs2,-0.00227942703104478,-0.00492924472669119,-0.00264981769564641,-0.000910392317075959,-0.00155217312995587,-0.000641780812879911,0.000191490189018942,0.000433090819459414,0.000241600630440472,0.000202564676923658,0.00016004961559013,-4.25150613335284e-05
scenario_01_baseline,Baseline,Public investment,ig1,ig2,-0.00124195861972774,-0.00152259456826828,-0.000280635948540539,-0.00373943350581489,-0.00420992069236796,-0.00047048718655307,-0.00122840576278385,-0.00175189485118533,-0.000523489088401483,0.00102223127552059,0.000258378374047158,-0.000763852901473433
scenario_01_baseline,Baseline,Public capital,kg1,kg2,-0.00124195861972787,-0.00152259456826842,-0.000280635948540553,-0.0106646483988033,-0.0122636842123596,-0.00159903581355625,-0.0189172964978592,-0.022200983571639,-0.0032836870737798,-0.0155907034828942,-0.0211904598118551,-0.00559975632896093
scenario_01_baseline,Baseline,Intermediate output,ym1,ym2,-0.00373567675427122,-0.00390750431395948,-0.000171827559688253,-0.00377070290180548,-0.00399316080878565,-0.000222457906980167,-0.00110920896801392,-0.00130967500799095,-0.000200466039977032,5.65755257211364e-05,-0.000255207821739045,-0.000311783347460182
scenario_01_baseline,Baseline,Final output,y1,y2,-0.00366972948852895,-0.00397345157970175,-0.000303722091172798,-0.00365676840390339,-0.00410709530668785,-0.000450326902784459,-0.00100409270662172,-0.00141479126938326,-0.000410698562761547,0.000183393933984366,-0.000382026230002164,-0.00056542016398653
scenario_01_baseline,Baseline,Private investment,inv1,inv2,-0.000551529316732802,-0.000570144113524074,-1.8614796791272e-05,0.000265867411767928,0.000269402704535793,3.53529276786446e-06,0.000413965857678222,0.000503747128365428,8.97812706872059e-05,-0.00048358210116789,-0.000298377048079723,0.000185205053088167
scenario_01_baseline,Baseline,Labor demand,n1,n2,-0.000791567544040431,-0.000827976775450864,-3.64092314104336e-05,-0.000742276972152456,-0.000781316914851282,-3.90399426988264e-05,-0.000123434480079163,-0.000147939129166372,-2.45046490872092e-05,0.000115201151869956,7.6861272851711e-05,-3.83398790182454e-05
scenario_01_baseline,Baseline,Real wage,w1,w2,-0.0410484943458616,-0.0417288172583112,-0.000680322912449682,-0.0152283192593705,-0.0156416572950637,-0.000413338035693211,-0.00488188319260763,-0.00495574037970181,-7.3857187094184e-05,-0.00329963564621893,-0.00375130433214554,-0.000451668685926609
scenario_01_baseline,Baseline,Consumption,c1,c2,-0.00187624155206845,-0.00188071289790936,-4.47134584091735e-06,-0.000183202309856467,-0.00016657731885561,1.66249910008576e-05,-0.00018965280151606,-0.000166643546563261,2.30092549527994e-05,-0.000355255240368391,-0.000342027555969682,1.32276843987089e-05
scenario_01_baseline,Baseline,Inflation,pinf1,pinf2,-0.00418836902437836,-0.00425055754919956,-6.21885248212051e-05,-0.00140774700088619,-0.00141658401710831,-8.83701622211852e-06,-3.40739220938691e-06,-2.35909065438022e-06,1.04830155500668e-06,0.000187185171567794,0.000191996999280963,4.81182771316924e-06
scenario_02_risk_premium,Local debt risk premium,Local bond rate,rb1,rb2,0.000286919437495037,0.000340642176091199,5.37227385961625e-05,-0.00146905924201168,-0.000798078546289327,0.000670980695722356,-0.00237024437302957,-0.00124559564240778,0.00112464873062179,-0.000124503486253369,-0.000252684869130215,-0.000128181382876846
scenario_02_risk_premium,Local debt risk premium,Central transfer,z1,z2,0,0,0,0,0,0,0,0,0,0,0,0
scenario_02_risk_premium,Local debt risk premium,Debt service pressure,ds1,ds2,0.00177257496139457,0.00448772559655938,0.00271515063516481,0.00034141955861203,0.00139491077925487,0.00105349122064284,-0.00114716775928388,-0.00140109359895386,-0.000253925839669986,-0.000552126458977484,-0.00110429510498621,-0.000552168646008721
scenario_02_risk_premium,Local debt risk premium,Fiscal space,fs1,fs2,-0.00233737568499028,-0.00506086342954469,-0.00272348774455441,-0.000973796049374503,-0.00204556608609301,-0.0010717700367185,0.00101537016302096,0.0011098421248094,9.44719617884393e-05,0.000774015049325671,0.00107354392538032,0.000299528876054653
scenario_02_risk_premium,Local debt risk premium,Public investment,ig1,ig2,-0.00128664709556739,-0.00157236994469698,-0.000285722849129588,-0.00409979071219901,-0.00485457255689724,-0.000754781844698224,0.000320670698851014,-0.00176232653995753,-0.00208299723880855,0.00446084355279282,0.00191049528219983,-0.00255034827059299
scenario_02_risk_premium,Local debt risk premium,Public capital,kg1,kg2,-0.00128664709556725,-0.00157236994469701,-0.000285722849129755,-0.0115600186918732,-0.0136152325893293,-0.00205521389745611,-0.0173807107007753,-0.0250868321578839,-0.00770612145710858,-0.00256913820909688,-0.0195644065959049,-0.016995268386808
scenario_02_risk_premium,Local debt risk premium,Intermediate output,ym1,ym2,-0.00366936869335877,-0.00377558035323278,-0.000106211659874011,-0.00415551534301972,-0.00423985531615667,-8.43399731369487e-05,-0.00114550751127485,-0.00164255265137514,-0.000497045140100294,0.00105948377193199,0.00015810146497075,-0.00090138230696124
scenario_02_risk_premium,Local debt risk premium,Final output,y1,y2,-0.00362145541683778,-0.00382349362975376,-0.000202038212915978,-0.00405474563377484,-0.00434062502540222,-0.000285879391627386,-0.000845075261012296,-0.0019429849016378,-0.00109790964062551,0.00142273124640324,-0.000205146009500501,-0.00162787725590374
scenario_02_risk_premium,Local debt risk premium,Private investment,inv1,inv2,-0.000501231759199083,-0.00041915436334411,8.20773958549736e-05,0.000174646188335514,0.000601564956724365,0.000426918768388851,-0.000766573776404156,0.000156995464081711,0.000923569240485866,-0.00236068681556334,-0.00145012111322584,0.000910565702337496
scenario_02_risk_premium,Local debt risk premium,Labor demand,n1,n2,-0.000777517262825225,-0.000800022877814222,-2.25056149889963e-05,-0.000821327132197652,-0.000835344004471758,-1.40168722741058e-05,-0.000116717988065604,-0.000209942201357671,-9.32242132920674e-05,0.000329838367652435,0.000179345067414849,-0.000150493300237586
scenario_02_risk_premium,Local debt risk premium,Real wage,w1,w2,-0.0401817097494037,-0.0405377216806957,-0.000356011931291977,-0.0157709917615705,-0.0153878360651349,0.000383155696435544,-0.0078609691594953,-0.00852594476273927,-0.000664975603243967,-0.00443318089642597,-0.00679671612442512,-0.00236353522799915
scenario_02_risk_premium,Local debt risk premium,Consumption,c1,c2,-0.00183357656207128,-0.0018319693217127,1.60724035858095e-06,-0.000129601109911226,-8.7617425229336e-05,4.198368468189e-05,-0.000399172183459084,-0.000337653825762008,6.15183576970768e-05,-0.000677425490826167,-0.000665520178474432,1.19053123517343e-05
