scenario,label,debt_ratio,metric,horizon,low_irf,high_irf,diff_irf
debt_intensity_b040,B2/Y2 = 40%,0.4,Debt service pressure,40,5.11751635059229e-06,5.11751635059055e-06,-1.73472347597681e-18
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,1,-0.00127772007262637,-0.00127772007262637,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,2,-0.00261766874528377,-0.00261766874528374,2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,3,-0.00352246220275222,-0.00352246220275217,5.55111512312578e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,4,-0.00383619470131112,-0.00383619470131104,8.32667268468867e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,5,-0.00360743891450668,-0.00360743891450659,9.71445146547012e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,6,-0.0029873314711943,-0.00298733147119422,8.32667268468867e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,7,-0.0021551787828461,-0.00215517878284605,5.55111512312578e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,8,-0.00127201003587515,-0.00127201003587513,2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,9,-0.000457618748852431,-0.000457618748852431,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,10,0.000215272465604557,0.000215272465604516,-4.16333634234434e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,11,0.000716126511518464,0.000716126511518408,-5.55111512312578e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,12,0.00104638553583572,0.00104638553583564,-8.32667268468867e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,13,0.00122790782670953,0.00122790782670944,-9.71445146547012e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,14,0.00129255268061659,0.00129255268061648,-1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,15,0.00127417442781631,0.00127417442781622,-9.71445146547012e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,16,0.00120336428306229,0.00120336428306218,-1.11022302462516e-16
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,17,0.00110468865698526,0.00110468865698517,-9.71445146547012e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,18,0.000995869651006218,0.000995869651006134,-8.32667268468867e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,19,0.000888266057589515,0.000888266057589446,-6.93889390390723e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,20,0.00078806547799945,0.000788065477999395,-5.55111512312578e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,21,0.00069772373539477,0.000697723735394729,-4.16333634234434e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,22,0.000617336134665233,0.000617336134665206,-2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,23,0.000545763135545468,0.000545763135545455,-1.38777878078145e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,24,0.000481442876804392,0.000481442876804392,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,25,0.000422898764884022,0.000422898764884022,0
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,26,0.000368993953635474,0.000368993953635488,1.38777878078145e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,27,0.000319002247756925,0.000319002247756939,1.38777878078145e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,28,0.000272564561634839,0.000272564561634867,2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,29,0.000229589028053603,0.000229589028053631,2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,30,0.000190137268467797,0.000190137268467824,2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,31,0.000154323520731733,0.000154323520731761,2.77555756156289e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,32,0.000122239852921924,0.000122239852921965,4.16333634234434e-17
debt_intensity_b040,B2/Y2 = 40%,0.4,Public investment,33,9.39107259290417e-05,9.39107259290833e-05,4.16333634234434e-17
