scenario,label,metric,low_var,high_var,low_t1,high_t1,diff_t1,low_t4,high_t4,diff_t4,low_t8,high_t8,diff_t8,low_t12,high_t12,diff_t12
scenario_01_baseline,Baseline,Local bond rate,rb1,rb2,0.0025252525252526,0.0025252525252526,0,-0.000714747105428293,-0.000714747105428515,-2.22044604925031e-16,-0.00047366669755422,-0.00047366669755422,0,0.000204776956213015,0.000204776956213015,0
scenario_01_baseline,Baseline,Central transfer,z1,z2,0,0,0,0,0,0,0,0,0,0,0,0
scenario_01_baseline,Baseline,Debt service pressure,ds1,ds2,0.006286612198062,0.0160610318666368,0.00977441966857481,0.000832739331654629,0.002320190308817,0.00148745097716237,-0.0012647083297443,-0.00238454914718566,-0.00111984081744136,-0.000652880304767123,-0.000773675049872247,-0.000120794745105123
scenario_01_baseline,Baseline,Fiscal space,fs1,fs2,-0.0106565219189206,-0.0206322462304627,-0.00997572431154215,-0.00295324562420309,-0.00478678954851203,-0.00183354392430894,0.00116628179727861,0.0020510620363602,0.00088478023908159,0.000997662307394453,0.000738362792399361,-0.000259299514995093
scenario_01_baseline,Baseline,Public investment,ig1,ig2,-0.00533272593348692,-0.0069109381060823,-0.00157821217259538,-0.0141634209136822,-0.0163694056840344,-0.00220598477035225,-0.0041492733610404,-0.00551903782189683,-0.00136976446085643,0.00343363919599156,0.00127593981587376,-0.0021576993801178
scenario_01_baseline,Baseline,Public capital,kg1,kg2,-0.00533272593348677,-0.00691093810608212,-0.00157821217259535,-0.0423421319500621,-0.0507320783639322,-0.00838994641387014,-0.0711837981577346,-0.0846225223273769,-0.0134387241696423,-0.059135212036435,-0.078334968142725,-0.01919975610629
scenario_01_baseline,Baseline,Intermediate output,ym1,ym2,-0.0227425011000597,-0.0236293739811694,-0.000886872881109668,-0.0114722910088636,-0.0123378559845825,-0.00086556497571888,-0.000888057312408042,-0.00137035134978436,-0.000482294037376318,0.00124552393359978,0.000327977770689936,-0.000917546162909844
scenario_01_baseline,Baseline,Final output,y1,y2,-0.0223000547610823,-0.024071820320147,-0.00177176555906466,-0.0108211403588822,-0.0129890066345638,-0.00216786627568166,-0.000502279727528254,-0.00175612893466348,-0.00125384920713523,0.00175945454949189,-0.000185952845201509,-0.0019454073946934
scenario_01_baseline,Baseline,Private investment,inv1,inv2,-0.000734191572956483,-0.000796088506622744,-6.18969336662611e-05,0.00347493515547598,0.0034136998033571,-6.12353521188824e-05,0.00334639932120928,0.00330415824835278,-4.2241072856497e-05,-0.000468689188352606,-0.000327239641990495,0.00014144954636211
scenario_01_baseline,Baseline,Labor demand,n1,n2,-0.0107179618290895,-0.0111359224414763,-0.000417960612386803,-0.00510093749280738,-0.0054302130979661,-0.000329275605158719,4.62730073231832e-05,-2.70461154218693e-05,-7.33191227450525e-05,0.000891820394420817,0.000671504906819997,-0.00022031548760082
scenario_01_baseline,Baseline,Real wage,w1,w2,-0.107534639207407,-0.110260608300306,-0.00272596909289846,-0.028954041838845,-0.0305072191331122,-0.00155317729426718,0.00113894647791501,0.00119126140211923,5.23149242042109e-05,0.00146590748934017,0.000439467677355365,-0.0010264398119848
