scenario,label,psi_L,ucrit,nu,ubar1,ubar2,status,notes
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,0.5,0.85,ok,
policy_cf_fiscal_discipline,Stronger debt-limit rule,0.45,0.9,25,0.5,0.85,ok,
