scenario,label,phi_reg,horizon,r,yagg,pinfagg,ds1,ds2,fs1,fs2,ig1,ig2,kg1,kg2,y1,y2,c1,c2,inv1,inv2,pinf1,pinf2,y_gap,pinf_gap,ds_gap,fs_gap,ig_gap,kg_gap,c_gap,inv_gap
policy_cf_standard_taylor,Standard Taylor rule,0,1,2.82857988158636e-05,-0.00382159053411535,-0.0042194632867889,0.00170709750273279,0.00433362834848136,-0.00227942703104478,-0.00492924472669119,-0.00124195861972774,-0.00152259456826828,-0.00124195861972787,-0.00152259456826842,-0.00366972948852895,-0.00397345157970175,-0.00187624155206845,-0.00188071289790936,-0.000551529316732802,-0.000570144113524074,-0.00418836902437836,-0.00425055754919956,-0.000303722091172798,-6.21885248212051e-05,0.00262653084574858,-0.00264981769564641,-0.000280635948540539,-0.000280635948540553,-4.47134584091735e-06,-1.8614796791272e-05
policy_cf_standard_taylor,Standard Taylor rule,0,2,-0.000259864454211556,-0.0042767780978048,-0.00307855811906232,0.00127286171771995,0.0032407354972185,-0.00190506979457354,-0.00391526452551215,-0.00255082261729597,-0.00297763087835,-0.00376173227153043,-0.00446216058241156,-0.00405366577775013,-0.00449989041785948,-0.00103958625905376,-0.00103889092904585,-0.000463256901400366,-0.000483368610463608,-0.00305585644246875,-0.0031012597956559,-0.000446224640109349,-4.54033531871456e-05,0.00196787377949855,-0.00201019473093861,-0.000426808261054026,-0.000700428310881129,6.95330007904893e-07,-2.01117090632419e-05
policy_cf_standard_taylor,Standard Taylor rule,0,3,-0.000567382333182875,-0.00427031081111817,-0.0021468351586994,0.000778648771132909,0.00201073225605989,-0.00140746818356784,-0.00268657938543794,-0.00343509554088717,-0.00390966370906329,-0.00710278450562951,-0.00826027027691456,-0.00403193794242451,-0.00450868367981172,-0.000488252085549146,-0.000479214892636248,-0.000108590315988255,-0.000119805078112101,-0.0021343092490842,-0.00215936106831471,-0.000476745737387207,-2.50518192305149e-05,0.00123208348492698,-0.0012791112018701,-0.00047456816817612,-0.00115748577128505,9.0371929128974e-06,-1.12147621238456e-05
policy_cf_standard_taylor,Standard Taylor rule,0,4,-0.00076107092347355,-0.00388193185529562,-0.00141216550899725,0.000340084194285303,0.000936523692064385,-0.000910392317075959,-0.00155217312995587,-0.00373943350581489,-0.00420992069236796,-0.0106646483988033,-0.0122636842123596,-0.00365676840390339,-0.00410709530668785,-0.000183202309856467,-0.00016657731885561,0.000265867411767928,0.000269402704535793,-0.00140774700088619,-0.00141658401710831,-0.000450326902784459,-8.83701622211852e-06,0.000596439497779082,-0.000641780812879911,-0.00047048718655307,-0.00159903581355625,1.66249910008576e-05,3.53529276786446e-06
policy_cf_standard_taylor,Standard Taylor rule,0,5,-0.000808178358260081,-0.00325152975717324,-0.000855988802520802,8.75390210897543e-06,0.000142861170956157,-0.000483810745402671,-0.000661067138275059,-0.00351200302348709,-0.00396647067687587,-0.0139100352123207,-0.0159235627839265,-0.00304602509624874,-0.00345703441809775,-6.09425512971828e-05,-3.92092158444379e-05,0.000526920478535531,0.000548645474622578,-0.000856289694932566,-0.000855687910108927,-0.00041100932184901,6.01784823639484e-07,0.000134107268847181,-0.000177256392872388,-0.000454467653388788,-0.00201352757160578,2.17333354527449e-05,2.17249960870469e-05
policy_cf_standard_taylor,Standard Taylor rule,0,6,-0.000730215254642674,-0.0025241389518198,-0.000454221460109094,-0.000205230478625638,-0.000352596123819302,-0.000158335620439029,-5.46977518857267e-05,-0.00290281008779555,-0.0033552788438185,-0.0164650944198081,-0.0188807525581467,-0.0023311556870087,-0.0027171222166309,-5.59209946541239e-05,-3.18057747180633e-05,0.000627575395440894,0.000669962401905644,-0.000456168214097663,-0.000452274706120637,-0.000385966529622195,3.89350797702637e-06,-0.000147365645193665,0.000103637868553302,-0.00045246875602295,-0.00241565813833855,2.41152199360606e-05,4.23870064647502e-05
policy_cf_standard_taylor,Standard Taylor rule,0,7,-0.00057094853870665,-0.00181757848205144,-0.000179301354543249,-0.000315836931371204,-0.000592466000003853,6.2486061766745e-05,0.000291065271518468,-0.00208898497666155,-0.00256469058447724,-0.0181424520359745,-0.0209734243286706,-0.00162446477272415,-0.00201069219137884,-0.000112472834158051,-8.81829659096223e-05,0.000576993038095497,0.000642181359008009,-0.000180912541797973,-0.000177690167288524,-0.000386227418654683,3.2223745094484e-06,-0.000276629068632648,0.000228579209751723,-0.000475705607815693,-0.00283097229269602,2.42898682484283e-05,6.51883209125126e-05
policy_cf_standard_taylor,Standard Taylor rule,0,8,-0.000376257923402346,-0.00120944198800244,-2.88324143182805e-06,-0.000348088081849425,-0.000645166601657759,0.000191490189018942,0.000433090819459414,-0.00122840576278385,-0.00175189485118533,-0.0189172964978592,-0.022200983571639,-0.00100409270662172,-0.00141479126938326,-0.00018965280151606,-0.000166643546563261,0.000413965857678222,0.000503747128365428,-3.40739220938691e-06,-2.35909065438022e-06,-0.000410698562761547,1.04830155500668e-06,-0.000297078519808334,0.000241600630440472,-0.000523489088401483,-0.0032836870737798,2.30092549527994e-05,8.97812706872059e-05
policy_cf_standard_taylor,Standard Taylor rule,0,9,-0.000183357205479018,-0.00073747507497024,0.000101609652753742,-0.000329107061907483,-0.000581795882655079,0.000249271768173659,0.000437435230974212,-0.000437254608695009,-0.00102478387579025,-0.0188816186941074,-0.0226707428581383,-0.000511897284952711,-0.000963052864987768,-0.000261497988200188,-0.000240560330414308,0.000186855311942513,0.000302291341216787,0.000101938939573776,0.000101280365933709,-0.000451155580035056,-6.58573640066606e-07,-0.000252688820747596,0.000188163462800553,-0.000587529267095238,-0.00378912416403088,2.093765778588e-05,0.000115436029274274
policy_cf_standard_taylor,Standard Taylor rule,0,10,-1.67609074201991e-05,-0.000407419528591024,0.000157115904088068,-0.000282749331940491,-0.000462796816256697,0.000257945150628755,0.00036449355291078,0.000215117060341247,-0.000441101526753557,-0.0181944611664138,-0.0225450758134387,-0.000159042354267114,-0.000655796702915046,-0.000314723376671266,-0.000296210026069721,-5.94360379370662e-05,8.15148499082041e-05,0.000157483559920957,0.000156748248255179,-0.000496754348647932,-7.35311665778227e-07,-0.000180047484316206,0.000106548402282025,-0.000656218587094803,-0.00435061464702491,1.85133506015456e-05,0.00014095088784527
policy_cf_standard_taylor,Standard Taylor rule,0,11,0.000111448260616154,-0.000203628924118848,0.000181943584933508,-0.000227094121740404,-0.000332235000017299,0.00023723839123789,0.000261437397804765,0.000700692192725547,-1.73594776947117e-05,-0.0170389074445279,-0.0219988083957974,6.50442150407216e-05,-0.000472302063278529,-0.000345346882376862,-0.000329410210502923,-0.000290301095307921,-0.000125532375081006,0.000181355681803774,0.000182531488063464,-0.000537346278319251,1.17580625969005e-06,-0.000105140878276895,2.41990065668746e-05,-0.000718051670420258,-0.00495990095126952,1.59366718739395e-05,0.000164768720226915
policy_cf_standard_taylor,Standard Taylor rule,0,12,0.000199076140829924,-9.93161480089544e-05,0.000189591085424379,-0.000173962633077827,-0.000217314961582248,0.000202564676923658,0.00016004961559013,0.00102223127552059,0.000258378374047158,-0.0155907034828942,-0.0211904598118551,0.000183393933984366,-0.000382026230002164,-0.000355255240368391,-0.000342027555969682,-0.00048358210116789,-0.000298377048079723,0.000187185171567794,0.000191996999280963,-0.00056542016398653,4.81182771316924e-06,-4.33523285044207e-05,-4.25150613335284e-05,-0.000763852901473433,-0.00559975632896093,1.32276843987089e-05,0.000185205053088167
policy_cf_standard_taylor,Standard Taylor rule,0,13,0.000250487333597338,-6.47272379854513e-05,0.000189174583025586,-0.00012967100166903,-0.000130953755286293,0.000164557317893624,7.80180297397237e-05,0.00120166483871367,0.000413825698057896,-0.013999271057108,-0.0202468726185012,0.000223688167501068,-0.00035314264347186,-0.000349295245201997,-0.000338987416293568,-0.000628681426010635,-0.000427980925236215,0.000184403707872427,0.000193945458178746,-0.000576830810972928,9.54175030631887e-06,-1.28275361726323e-06,-8.65392881539001e-05,-0.000787839140655777,-0.00624760156139326,1.03078289084291e-05,0.00020070050077442
policy_cf_standard_taylor,Standard Taylor rule,0,14,0.000273443919649896,-7.26429306959764e-05,0.000186213211717634,-9.63662979655815e-05,-7.56690672186287e-05,0.000129535258633059,2.20108519309037e-05,0.00126988938052361,0.000482141107526549,-0.0123793999001567,-0.0192585596955119,0.000212676626040409,-0.000357962487432362,-0.000333139356371248,-0.000326063984048552,-0.000724073398112035,-0.000514039610910344,0.000178909450481157,0.000193516972954333,-0.000570639113472771,1.46075224731756e-05,2.06972307469529e-05,-0.000107524406702156,-0.00078774827299706,-0.00687915979535525,7.07537232269573e-06,0.000210033787201691
policy_cf_standard_taylor,Standard Taylor rule,0,15,0.000276613408888959,-0.0001013391464737,0.00018354651918373,-7.34768733925729e-05,-4.75678757515634e-05,0.000100438074918219,-8.72688207587125e-06,0.00125912614208044,0.000494782965001536,-0.0108107887605726,-0.0182823127381226,0.000172872989055772,-0.000375551282003284,-0.000311942344855098,-0.000308483242586921,-0.000774310808169532,-0.000561851004417857,0.000173892034271983,0.000193201004095478,-0.000548424271059056,1.93089698234949e-05,2.59089976410096e-05,-0.00010916495699409,-0.000764343177078908,-0.00747152397755002,3.45910226817736e-06,0.000212459803751675
policy_cf_standard_taylor,Standard Taylor rule,0,16,0.000267908849362231,-0.000135528750056957,0.000182215727204671,-5.8989220757674e-05,-3.97231034264187e-05,7.78858058097798e-05,-1.90704038437184e-05,0.00119807070900699,0.000477477851838284,-0.00934244833255127,-0.0173477770678314,0.000121163336796792,-0.000392220836910706,-0.000289669425926675,-0.000290223333085926,-0.000787237946283548,-0.000579475355662995,0.000170657186549183,0.00019377426786038,-0.000513384173707498,2.31170813111969e-05,1.92661173312554e-05,-9.69562096534982e-05,-0.000720592857168703,-0.00800532873528015,-5.53907159250855e-07,0.000207762590620553
policy_cf_standard_taylor,Standard Taylor rule,0,17,0.000253606866036815,-0.000165939095088441,0.000182205769753807,-5.04145746372175e-05,-4.46312348125737e-05,6.11428915508333e-05,-1.54283840707869e-05,0.00110949169617011,0.000448716808719649,-0.00799939542806749,-0.0164653658324161,6.87890786550405e-05,-0.000400667268831811,-0.000268917452950213,-0.000273830764266791,-0.000771785164564998,-0.000575553313284682,0.000169345788630704,0.000195065750877133,-0.000469456347486852,2.57199622464288e-05,5.78333982464378e-06,-7.65712756216202e-05,-0.000660774887450463,-0.0084659704043486,-4.91331131657891e-06,0.000196231851280315
policy_cf_standard_taylor,Standard Taylor rule,0,18,0.000238076271455112,-0.000188142283540693,0.000183003400574533,-4.54178768586767e-05,-5.57279821003474e-05,4.8873601734889e-05,-3.99812946889899e-06,0.00100966837321051,0.000420002168406,-0.0067897421691554,-0.0156337295181999,2.21578214203433e-05,-0.00039844238850173,-0.000251046070507632,-0.000260562613431325,-0.000736464481282562,-0.00055788194347639,0.000169495030824418,0.000196511770324426,-0.000420600209922073,2.70167395000076e-05,-1.03101052416708e-05,-5.2871731203788e-05,-0.000589666204804509,-0.00884398734904446,-9.51654292369319e-06,0.000178582537806171
policy_cf_standard_taylor,Standard Taylor rule,0,19,0.000223914557055727,-0.000201127173254934,0.000183970216355966,-4.21492006080675e-05,-6.81063785600081e-05,3.96574989390275e-05,1.02037322199239e-05,0.000909005700483245,0.000397091913319617,-0.00571099291444321,-0.0148457943669249,-1.5976584536892e-05,-0.000386277761972975,-0.000236463063052472,-0.000250691435095263,-0.000688519221967665,-0.00053267824019726,0.000170430981814906,0.000197509450897027,-0.000370301177436083,2.70784690821202e-05,-2.59571779519406e-05,-2.94537667191036e-05,-0.000511913787163629,-0.00913480145248169,-1.42283720427905e-05,0.000155840981770405
policy_cf_standard_taylor,Standard Taylor rule,0,20,0.000212304321594026,-0.000205944469074626,0.000184556526451995,-3.93499222771194e-05,-7.86539500813432e-05,3.22856420906098e-05,2.37019758288493e-05,0.000813246668378884,0.000381631603939336,-0.00475497142320336,-0.0140930179038126,-4.52955789170817e-05,-0.000366593359232281,-0.000224949439046052,-0.000243851921988947,-0.000633592808249872,-0.000504373041182726,0.000171509565672689,0.000197603487231302,-0.0003212977803152,2.6093921558612e-05,-3.93040278042238e-05,-8.58366626176055e-06,-0.000431615064439547,-0.00933804648060921,-1.89024829428952e-05,0.000129219767067146
