scenario,label,rho_z,psi_z,phi_z_ds,phi_z_b,horizon,z1,z2,b1,b2,debt_ratio1,debt_ratio2,ds1,ds2,fs1,fs2,ig1,ig2,kg1,kg2,y1,y2,c1,c2,pinf1,pinf2,z_gap,debt_ratio_gap,ds_gap,fs_gap,ig_gap,kg_gap,y_gap,c_gap,pinf_gap
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,1,0,0,0.00510162247045198,0.0136030747409519,0.0134400385969501,0.0362536961684679,0.00636479718118129,0.0162425606315035,-0.0104497788189102,-0.0205438907611732,-0.00534815634845821,-0.00694081602022116,-0.00534815634845831,-0.00694081602022134,-0.0208460403162454,-0.0226506214275159,-0.0146794895301187,-0.0148335559106701,-0.0155444126202612,-0.0158536288109132,0,0.0228136575715177,0.00987776345032219,-0.010094111942263,-0.00159265967176295,-0.00159265967176303,-0.00180458111127058,-0.000154066380551487,-0.000309216190652051
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,2,0,0,0.00263655234183985,0.0156205788245805,0.00967511894452903,0.035623041007838,0.00409345105072864,0.0104618935930849,-0.00754163771972303,-0.0142603409571783,-0.0100067078483349,-0.0122428368735497,-0.0152211602880818,-0.0190101324932654,-0.0175964165067229,-0.0200024621832575,-0.00766460869822527,-0.00776485713171715,-0.00990012303978183,-0.0100935557039689,0,0.0259479220633089,0.00636844254235622,-0.00671870323745531,-0.00223612902521478,-0.00378897220518359,-0.00240604567653457,-0.000100248433491879,-0.000193432664187032
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,3,0,0,-0.0049844621443596,0.00957807760741392,0.000804042042551101,0.0263919842126223,0.00221313006560971,0.00571770931220996,-0.00504891241980335,-0.00891065319279502,-0.0126699269060027,-0.0149531544099617,-0.0275105581868824,-0.0334880335908956,-0.0144712604672768,-0.0168139066052084,-0.0033164161316519,-0.00331053533230463,-0.00576949357284773,-0.00583881043847234,0,0.0255879421700712,0.00350457924660026,-0.00386174077299167,-0.00228322750395896,-0.00597747540401317,-0.00234264613793167,5.88079934726871e-06,-6.93168656246135e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,4,0,0,-0.01518948467823,-0.000938687805233984,-0.0106912147981651,0.0123040448560685,0.000790762226324953,0.00220086080066263,-0.00299446009686168,-0.00471564235654631,-0.0131994826307321,-0.0152324077691943,-0.0400222768629424,-0.0478832405203176,-0.0112456747001622,-0.0132427326613025,-0.000857724796693882,-0.00076112321767241,-0.00282370071928728,-0.00280505349249449,0,0.0229952596542336,0.00141009857433768,-0.00172118225968464,-0.0020329251384622,-0.00786096365737521,-0.00199705796114025,9.66015790214714e-05,1.86472267927895e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,5,0,0,-0.0258046866058755,-0.0129528180148191,-0.0225771513144858,-0.0032690896893508,-0.000186000987859439,-0.000137019407125249,-0.00139516529125548,-0.00170191082033735,-0.0120103672189012,-0.0137160410299227,-0.0510320871602703,-0.060402200537232,-0.00806883822847437,-0.00968372832546827,0.000310668449881035,0.000461611579652743,-0.000839763354682943,-0.000777967446707661,0,0.019308061625135,4.89815807341899e-05,-0.000306745529081873,-0.00170567381102152,-0.0093701133769617,-0.00161489009699389,0.000150943129771708,6.17959079752817e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,6,0,0,-0.0352811259255607,-0.0243479209802491,-0.0332102713857785,-0.0178410633163306,-0.000776837409624869,-0.00147703442757381,-0.000237672137641767,0.00024138872977926,-0.00971411145732712,-0.011153714235651,-0.059470396438591,-0.0700458597594524,-0.00517713634945527,-0.00650685766391845,0.000651834864024647,0.000822250797068547,0.000374523785827696,0.000443001478447558,0,0.0153692080694479,-0.000700197017948944,0.000479060867421027,-0.00143960277832385,-0.0105754633208615,-0.00132972131446318,0.000170415933043899,6.84776926198616e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,7,0,0,-0.0427143056717044,-0.0338651967298242,-0.0416110045995335,-0.0299153275361946,-0.00106450956309194,-0.0020575427386367,0.000524003482281349,0.00130746656853335,-0.00690917626386268,-0.00820980918104194,-0.0648928127914892,-0.0765045224465082,-0.0027582526804274,-0.00394986919362961,0.000515320911912087,0.000680439358997087,0.00100191227086399,0.0010546835169305,0,0.0116956770633388,-0.000993033175544767,0.000783463086252004,-0.00130063291717926,-0.011611709655019,-0.00119161651320221,0.000165118447085,5.27712460665075e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,8,0,0,-0.0477488576821923,-0.0409628473279779,-0.0473864949167543,-0.0388616014093222,-0.00113651456210569,-0.00212117418267736,0.00095899340934108,0.00172214970519528,-0.00407555860114717,-0.00537550089295871,-0.0673460510728492,-0.0799674102783041,-0.000905906913595045,-0.00210124591865579,0.000152602368292509,0.000298902504995757,0.00121336859446086,0.00124161655864485,0,0.00852489350743216,-0.000984659620571665,0.000763156295854203,-0.00129994229181155,-0.0126213592054549,-0.00119533900506075,0.000146300136703248,2.82479641839917e-05
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,9,0,0,-0.0504341637823493,-0.0456202067729553,-0.0505849449154471,-0.0446921007557224,-0.00107255426004165,-0.00188132234785704,0.00114642178484256,0.00170507595266535,-0.00153888431531475,-0.00295228349231216,-0.0672012841113427,-0.0809205085136586,0.000376952832744415,-0.000928106017232921,-0.000268280294249634,-0.000145360835794639,0.00115906445885794,0.00116414534690801,0,0.00589284415972471,-0.000808768087815393,0.000558654167822789,-0.00141339917699741,-0.0137192244023159,-0.00130505884997734,0.000122919458454995,5.08088805006857e-06
policy_cf_no_transfer_stabilizer,No central transfer stabilizer,0,0,0,0,10,0,0,-0.0510744652872094,-0.0481405819593412,-0.0515359795887799,-0.0478207514058919,-0.000937458604800922,-0.0015051409233879,0.00116355399496472,0.00144440542434905,0.000523252490104265,-0.0010759697620371,-0.0649979995184555,-0.0799734655628543,0.00115378575392611,-0.000319830553449307,-0.000646999081136634,-0.000546416113681003,0.000960853961367691,0.000950121618542354,0,0.00371522818288796,-0.000567682318586982,0.000280851429384332,-0.00159922225214136,-0.0149754660443988,-0.00147361630737541,0.000100582967455631,-1.0732342825337e-05
