scenario,label,psi_L,ucrit,nu,ubar1,ubar2,max_u2,max_pressure2,max_debt_ratio2,max_ds2,min_fs2,min_ig2,min_kg2,min_y2,min_c2,min_pinf2,max_abs_u_gap,max_abs_pressure_gap,max_abs_debt_ratio_gap,max_abs_ds_gap,max_abs_ig_gap,max_abs_y_gap,u2_t1,u2_t4,u2_t8,u2_t12,pressure2_t1,pressure2_t4,pressure2_t8,pressure2_t12,ig2_t1,ig2_t4,ig2_t8,ig2_t12,y2_t1,y2_t4,y2_t8,y2_t12
policy_cf_baseline,Baseline debt-limit rule,0.15,0.9,25,0.5,0.85,0.851612507570323,0.000364773852939558,0.00797129253102358,0.00474301715225156,-0.00565353731437553,-0.00485842915926114,-0.0168849588721525,-0.00645450272966819,-0.00180308582339395,-0.00463484473271669,0.00769652654278519,0.00131956981076229,0.00832837769138274,0.00285430434260375,0.000424640712270705,0.000357277570740777,0.851612507570323,0.846605984704384,0.843697772142649,0.844139705720376,0.000364773852939558,-0.000731313428805551,-0.0013200714905197,-0.00123279207295445,-0.00375646958458321,-0.0029305312136438,-6.43102718024813e-05,0.000126340978659351,-0.00607422480123132,-0.00366335996290612,-0.000808035083974978,-0.00056969567893983
policy_cf_fiscal_discipline,Stronger debt-limit rule,0.45,0.9,25,0.5,0.85,0.851615243659746,0.000365402503507667,0.00798129058299279,0.00475360727247729,-0.0056651436183268,-0.00487473052022709,-0.0168240006125759,-0.00646838255287996,-0.00180492467048554,-0.00464526116050779,0.00769946993719955,0.0012905858389422,0.00833729695850608,0.00285993667614268,0.000343326466103314,0.000295782942771883,0.851615243659746,0.846584222353551,0.843844969048917,0.844583219919726,0.000365402503507667,-0.000735846816395967,-0.00129108684010193,-0.00114441987870258,-0.00376485695980198,-0.00292333752344995,2.03228340977107e-05,0.000211203836883347,-0.00608100392446786,-0.00366267417424693,-0.000759552469264846,-0.000529619450779228
