scenario,label,phi_pi,rho_demand,shock_stderr,horizon,demand,r,yagg,pinfagg,cr1,ch1,nr1,nh1,cr2,ch2,nr2,nh2,ds1,ds2,fs1,fs2,ig1,ig2,kg1,kg2,y1,y2,c1,c2,pinf1,pinf2,ds_gap,fs_gap,ig_gap,kg_gap,y_gap,c_gap,pinf_gap,abs_ds_gap,abs_ig_gap,abs_y_gap,abs_pinf_gap
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,1,-0.0025,-0.00121291522886202,-0.0030116652559139,-0.00226980693389811,-0.00113311315581321,-0.00270008210900596,-0.00104111289060037,0.000329594964583665,-0.00113413418021524,-0.00273502664554848,-0.00106652189396976,0.000333860591634663,0.000929818598390133,0.00232176377969593,-0.00139111852354309,-0.00278128117698828,-0.000691424099798041,-0.000829779191754573,-0.000691424099798166,-0.000829779191754643,-0.00295781687759988,-0.00306551363422802,-0.00160320384177104,-0.00161440191981521,-0.00227172286223953,-0.00226789100555669,0.0013919451813058,-0.00139016265344519,-0.000138355091956532,-0.000138355091956477,-0.000107696756628139,-1.11980780441723e-05,3.83185668284547e-06,0.0013919451813058,0.000138355091956532,0.000107696756628139,3.83185668284547e-06
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,2,-0.002,-0.00169471098259155,-0.00268128295424752,-0.00131824598796071,-0.000433716351449509,-0.00167010627119646,-0.000877666111454997,0.000203867362207219,-0.000438650819571618,-0.00169329286129194,-0.000890801823489648,0.000206697714408677,6.82406855936268e-05,0.000158239561071943,-0.000483092267544782,-0.000563352367535352,-0.00097828784881418,-0.0010810022050093,-0.00165242634611706,-0.00189003691696987,-0.00265999395162997,-0.00270257195686507,-0.000804633327373572,-0.000815043432087714,-0.00132558947330774,-0.00131090250261368,8.99988754783166e-05,-8.026009999057e-05,-0.000102714356195119,-0.000237610570852809,-4.25780052351055e-05,-1.04101047141425e-05,1.46869706940667e-05,8.99988754783166e-05,0.000102714356195119,4.25780052351055e-05,1.46869706940667e-05
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,3,-0.0016,-0.00173306219906277,-0.00211586721587742,-0.000678535708346972,-0.000164167918078384,-0.00107438586098252,-0.000665065502710407,0.000131148667152969,-0.000174874262146463,-0.00107677405000106,-0.00065749766457629,0.000131440189796814,-0.000388596383851361,-0.000984759537321474,5.31451737553479e-05,0.000672842361790535,-0.00076035316733522,-0.000768611567763172,-0.00237146885479955,-0.00261139756180873,-0.00215088534970886,-0.00208084908204598,-0.000437233300949691,-0.000445444198502787,-0.000689366498174526,-0.000667704918519307,-0.000596163153470112,0.000619697188035187,-8.25840042795178e-06,-0.000239928707009174,7.00362676628874e-05,-8.2108975530959e-06,2.16615796552189e-05,0.000596163153470112,8.25840042795178e-06,7.00362676628874e-05,2.16615796552189e-05
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,4,-0.00128,-0.00151596358758632,-0.0014428199851606,-0.000252632878745218,-0.000124763184725762,-0.000720013190694924,-0.000432804684637855,8.78909279444923e-05,-0.00014132242052467,-0.000706975777806984,-0.000408506440287518,8.62994705496528e-05,-0.000586690585496459,-0.00147533616477769,0.000348358236435767,0.00127185237729287,-0.00019915759053557,-0.000112449970966821,-0.00251133972396511,-0.00265856259373054,-0.00152816726405469,-0.00135747270626663,-0.000303338186516511,-0.00031101842770942,-0.000263615692793095,-0.000241650064697452,-0.000888645579281233,0.000923494140857101,8.67076195687488e-05,-0.000147222869765429,0.000170694557788065,-7.68024119290889e-06,2.19656280956437e-05,0.000888645579281233,8.67076195687488e-05,0.000170694557788065,2.19656280956437e-05
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,5,-0.001024,-0.00117604123066939,-0.000800154014883536,1.91062123249264e-05,-0.000186368252109381,-0.000507419470255122,-0.000218899982328338,6.19399320376107e-05,-0.000207568758903154,-0.000487650101439696,-0.000185474754670178,5.952671490142e-05,-0.000618554890427727,-0.00155123820040891,0.000475220891108658,0.00144911766847179,0.000491523009407427,0.0006495888238401,-0.00195703322145846,-0.00194250970504717,-0.000919045721022083,-0.000681262308744879,-0.000282683617553126,-0.00029159316166405,1.03969761686695e-05,2.78154484811832e-05,-0.000932683309981181,0.000973896777363134,0.000158065814432673,1.45235164112911e-05,0.000237783412277204,-8.90954411092437e-06,1.74184723125137e-05,0.000932683309981181,0.000158065814432673,0.000237783412277204,1.74184723125137e-05
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,6,-0.000819200000000005,-0.000805421528014882,-0.000280583515121502,0.000180959961779914,-0.000270510550031688,-0.000379905234126676,-4.93186621200598e-05,4.63744608986127e-05,-0.000294620063779782,-0.000360531029276911,-1.3646210407281e-05,4.40094808337455e-05,-0.000551162576830831,-0.00138501229520761,0.000486282615217118,0.00136325264379157,0.00113238201256347,0.0013344350627545,-0.000775725378358683,-0.000559511899666632,-0.000416004935216985,-0.000145162095026019,-0.000303328955260196,-0.000314393353428977,0.000175501278463663,0.000186418645096387,-0.000833849718376779,0.000876970028574453,0.000202053050191039,0.000216213478692051,0.000270842840190966,-1.10643981687808e-05,1.09173666327234e-05,0.000833849718376779,0.000202053050191039,0.000270842840190966,1.09173666327234e-05
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,7,-0.000655360000000006,-0.000462738758160164,7.64428522281868e-05,0.000268422183338002,-0.000335569144322423,-0.0003027914424647,6.56336278454378e-05,3.69612962592969e-05,-0.000360972382594138,-0.000287792543656407,9.91445496896365e-05,3.51304032264466e-05,-0.000434376348856165,-0.00110361791573397,0.000424500454183366,0.0011360274447843,0.00160878731047932,0.00183437711634422,0.000852455066579605,0.00128885301416926,-6.33234179143738e-05,0.000216209122370969,-0.000325735833765051,-0.000339018430912774,0.000265994539615066,0.000270849827061159,-0.000669241566877804,0.000711526990600939,0.000225589805864901,0.000436397947589651,0.000279532540285343,-1.32825971477235e-05,4.85528744609276e-06,0.000669241566877804,0.000225589805864901,0.000279532540285343,4.85528744609276e-06
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,8,-0.000524288000000007,-0.000179309690231388,0.000273539537319456,0.000309486168114992,-0.00036539617229836,-0.000254308979880546,0.000128216761503791,3.10431149250917e-05,-0.000390958273170039,-0.000244646255892822,0.000157850202496382,2.98636007318304e-05,-0.000303595495431156,-0.000795183534973676,0.000324708379133398,0.000856897700803078,0.00187107757193537,0.00211050043132355,0.00270222126185038,0.00336713212013873,0.00013537406000852,0.00041170501463017,-0.000332070014573027,-0.000347064667986841,0.000309188066172528,0.000309784270057456,-0.000491588039542521,0.000532189321669679,0.000239422859388175,0.000664910858288348,0.000276330954621651,-1.49946534138135e-05,5.96203884928315e-07,0.000491588039542521,0.000239422859388175,0.000276330954621651,5.96203884928315e-07
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,9,-0.000419430400000007,3.41522754101486e-05,0.000339050448428191,0.000324893335521548,-0.000359765471388496,-0.000221060198421275,0.000148317079767438,2.69844861482127e-05,-0.000384929850911653,-0.000215551203631037,0.000174476173752589,2.63120114346871e-05,-0.000181524222533889,-0.000514240243894995,0.000213180326110715,0.000585460939271809,0.00192080124357463,0.0021744558583195,0.00455546697387899,0.00545740967545472,0.000202976311795,0.00047512458506116,-0.000318153889498407,-0.000334116256727524,0.0003256396503033,0.000324147020740018,-0.000332716021361106,0.000372280613161094,0.000253654614744872,0.000901942701575731,0.00027214827326616,-1.59623672291165e-05,-1.49262956328222e-06,0.000332716021361106,0.000253654614744872,0.00027214827326616,1.49262956328222e-06
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,10,-0.000335544320000007,0.000180766831893608,0.000312148583316407,0.000328694997630219,-0.000326813555484917,-0.000195295633135362,0.000138884894968369,2.3839444390189e-05,-0.000351509418372586,-0.000191660043422415,0.000163224074041679,2.33956534185509e-05,-8.03675355045465e-05,-0.000288172489567291,0.000107665515361469,0.00035551682671138,0.0017925229975413,0.00206784589314954,0.00623410329707319,0.00738882032671784,0.000175032383798346,0.000449264782834691,-0.000287358178780117,-0.000303554605887602,0.000329574158107304,0.000327815837153356,-0.000207804954062744,0.000247851311349911,0.000275322895608235,0.00115471702964465,0.000274232399036345,-1.61964271074844e-05,-1.75832095394846e-06,0.000207804954062744,0.000275322895608235,0.000274232399036345,1.75832095394846e-06
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,11,-0.000268435456000007,0.000271449279563685,0.000231932522661626,0.000329313617777549,-0.000277590896331725,-0.000173011301184633,0.000112600348027125,2.11192294842927e-05,-0.000302041866670266,-0.000168767267573422,0.000137183272220245,2.06011666805256e-05,-4.43600834710081e-06,-0.000124558246374985,1.83265076848238e-05,0.000180740435024265,0.00153672137242812,0.00184431634271305,0.00761497208707462,0.00904841616126317,8.90647302103087e-05,0.000374800315113166,-0.000246217017787598,-0.000262059486941135,0.000329773152901724,0.000328854082653152,-0.000120122238027884,0.000162413927339441,0.00030759497028493,0.00143344407418855,0.000285735584902858,-1.58424691535375e-05,-9.19070248572851e-07,0.000120122238027884,0.00030759497028493,0.000285735584902858,9.19070248572851e-07
