scenario,label,phi_pi,horizon,yagg,pinfagg,r,y1,y2,pinf1,pinf2,y_gap,pinf_gap,abs_y_gap,abs_pinf_gap
hawkish_phi_110,phi_pi = 1.1,1.1,1,0.0022451843651905,0.000453301298042996,7.30454408450765e-05,0.00221830918775279,0.00227205954262844,0.000452227016483286,0.000454375579602706,5.37503548756479e-05,2.14856311941958e-06,5.37503548756479e-05,2.14856311941958e-06
hawkish_phi_110,phi_pi = 1.1,1.1,2,-7.96325486940308e-05,-0.000203462771366958,4.23295529854428e-05,-8.13255841305427e-05,-7.79395132576299e-05,-0.000201868114267256,-0.00020505742846666,3.38607087291276e-06,-3.18931419940327e-06,3.38607087291276e-06,3.18931419940327e-06
hawkish_phi_110,phi_pi = 1.1,1.1,3,-0.000104715806987676,-0.000152216989588227,2.01258634198176e-05,-9.42336170470792e-05,-0.000115197996928273,-0.000150397913167621,-0.000154036066008945,-2.09643798811943e-05,-3.63815284132318e-06,2.09643798811943e-05,3.63815284132318e-06
hawkish_phi_110,phi_pi = 1.1,1.1,4,-0.000122503676535657,-0.000109914730045846,4.66311842073353e-06,-0.000107616401262001,-0.000137390951809313,-0.000108738482617055,-0.000111090977474748,-2.97745505473124e-05,-2.35249485769362e-06,2.97745505473124e-05,2.35249485769362e-06
hawkish_phi_110,phi_pi = 1.1,1.1,5,-0.000122950090252649,-7.39861240137696e-05,-5.26579397086557e-06,-0.00010807519886713,-0.000137824981638168,-7.35809225362871e-05,-7.4391325491141e-05,-2.9749782771038e-05,-8.10402954853906e-07,2.9749782771038e-05,8.10402954853906e-07
hawkish_phi_110,phi_pi = 1.1,1.1,6,-0.000108056208663831,-4.47133100051067e-05,-1.07988369850709e-05,-9.53247964198267e-05,-0.000120787620907725,-4.48992852043473e-05,-4.45273348059771e-05,-2.54628244878985e-05,3.71950398370124e-07,2.54628244878985e-05,3.71950398370124e-07
hawkish_phi_110,phi_pi = 1.1,1.1,7,-8.38211284795998e-05,-2.25705361550643e-05,-1.30734687024958e-05,-7.38362914450841e-05,-9.38059655141155e-05,-2.30842512853879e-05,-2.20568210248517e-05,-1.99696740690314e-05,1.0274302605362e-06,1.99696740690314e-05,1.0274302605362e-06
hawkish_phi_110,phi_pi = 1.1,1.1,8,-5.64071524554732e-05,-7.39445564545971e-06,-1.31574972319637e-05,-4.88456587580677e-05,-6.39686461529898e-05,-7.99977419108089e-06,-6.78913709983853e-06,-1.51229873949221e-05,1.21063709124236e-06,1.51229873949221e-05,1.21063709124236e-06
hawkish_phi_110,phi_pi = 1.1,1.1,9,-3.05443172808895e-05,1.65353422199033e-06,-1.19665499414001e-05,-2.46295400935237e-05,-3.64590944682552e-05,1.12051857503737e-06,2.18654986872124e-06,-1.18295543747315e-05,1.06603129368388e-06,1.18295543747315e-05,1.06603129368388e-06
hawkish_phi_110,phi_pi = 1.1,1.1,10,-9.11911854140079e-06,5.84158302130433e-06,-1.0212942475718e-05,-3.96531460067351e-06,-1.42729224821281e-05,5.46558589453738e-06,6.21758014829332e-06,-1.03076078814546e-05,7.51994253755939e-07,1.03076078814546e-05,7.51994253755939e-07
hawkish_phi_110,phi_pi = 1.1,1.1,11,6.64734953748081e-06,6.57870649578562e-06,-8.39353589476843e-06,1.18143401042214e-05,1.48035897074017e-06,6.37822152604883e-06,6.77919146530037e-06,-1.03339811334813e-05,4.00969939251539e-07,1.03339811334813e-05,4.00969939251539e-07
hawkish_phi_110,phi_pi = 1.1,1.1,12,1.67772329631166e-05,5.18460406984111e-06,-6.80864818680682e-06,2.25063747303356e-05,1.10480911961197e-05,5.13287311232347e-06,5.23633502735876e-06,-1.14582835342159e-05,1.03461915035297e-07,1.14582835342159e-05,1.03461915035297e-07
hawkish_phi_110,phi_pi = 1.1,1.1,13,2.20675634887701e-05,2.74766563301831e-06,-5.59958250501147e-06,2.86515142056132e-05,1.54836127721492e-05,2.79413049719679e-06,2.70120076906188e-06,-1.3167901433464e-05,-9.29297281349051e-08,1.3167901433464e-05,9.29297281349051e-08
hawkish_phi_110,phi_pi = 1.1,1.1,14,2.36803696087584e-05,6.56460441561535e-08,-4.79313459700315e-06,3.11797226351107e-05,1.61810165824061e-05,1.53706122052455e-07,-2.24140335181033e-08,-1.49987060527046e-05,-1.76120155570558e-07,1.49987060527046e-05,1.76120155570558e-07
