scenario,label,phi_pi,rho_demand,shock_stderr,min_demand,min_r,min_yagg,min_pinfagg,max_ds2,min_fs2,min_ig2,min_kg2,min_y2,min_c2,min_pinf2,max_abs_ds_gap,max_abs_ig_gap,max_abs_y_gap,max_abs_pinf_gap,yagg_t1,yagg_t4,yagg_t8,yagg_t12,pinfagg_t1,pinfagg_t4,pinfagg_t8,pinfagg_t12,ds2_t1,ds2_t4,ds2_t8,ds2_t12,ig2_t1,ig2_t4,ig2_t8,ig2_t12,y_gap_t1,y_gap_t4,y_gap_t8,y_gap_t12,pinf_gap_t1,pinf_gap_t4,pinf_gap_t8,pinf_gap_t12
negative_demand_phi_110,phi_pi = 1.1,1.1,0.8,0.0025,-0.0025,-0.00173306219906277,-0.0030116652559139,-0.00226980693389811,0.00232176377969593,-0.00278128117698828,-0.0010810022050093,-0.00265856259373054,-0.00306551363422802,-0.00161440191981521,-0.00226789100555669,0.0013919451813058,0.000605792141123551,0.000435605205954648,2.19656280956437e-05,-0.0030116652559139,-0.0014428199851606,0.000273539537319456,0.000130930810792407,-0.00226980693389811,-0.000252632878745218,0.000309486168114992,0.000330899329005874,0.00232176377969593,-0.00147533616477769,-0.000795183534973676,-1.83395989404363e-05,-0.000829779191754573,-0.000112449970966821,0.00211050043132355,0.00155654383953852,-0.000107696756628139,0.000170694557788065,0.000276330954621651,0.000306321525778919,3.83185668284547e-06,2.19656280956437e-05,5.96203884928315e-07,2.3352474376459e-07
negative_demand_baseline_policy,Baseline rule: phi_pi = 1.5,1.5,0.8,0.0025,-0.0025,-0.00200101755054516,-0.00275779395473408,-0.00219259478379863,0.00223973801235703,-0.00266066648825375,-0.000974376348230138,-0.0022945046165388,-0.00280808080281503,-0.00145037538790116,-0.00218925982420526,0.00134155424893946,0.000642391141451218,0.000465734502627213,2.36479249265953e-05,-0.00275779395473408,-0.00119774747052559,0.000330981023684229,9.46784331343764e-05,-0.00219259478379863,-0.000404077993127472,5.96490715627507e-05,8.13669859442978e-05,0.00223973801235703,-0.00159606086410933,-0.000752910105150707,-1.88094954375884e-07,-0.000798228400561402,0.000121312745705773,0.00225386032248857,0.00154561882023421,-0.00010057369616201,0.000199191797030207,0.000299731608714104,0.000339606554747518,6.66991918674142e-06,2.30086403841812e-05,3.3350414918587e-07,2.19764450859472e-07
negative_demand_phi_200,phi_pi = 2.0,2,0.8,0.0025,-0.0025,-0.00205791696360391,-0.00241777816665645,-0.00188528336316762,0.00192310822091161,-0.00229137501799394,-0.000732212792534992,-0.00161376837099159,-0.00245676636867587,-0.00126488488213861,-0.00187930947501569,0.00114935260435974,0.000693525189499777,0.000504804492389765,2.61419776612648e-05,-0.00241777816665645,-0.000871719092302659,0.000419374885625823,9.14470886814733e-05,-0.00188528336316762,-0.000355941900864298,2.37581037554335e-06,1.46501740931892e-05,0.00192310822091161,-0.00170873304854699,-0.000685177891721355,2.10207930242592e-05,-0.000686068015087984,0.000500726277229899,0.00242030849163272,0.00151434368140278,-7.79764040389486e-05,0.000241068797283361,0.000335986846986547,0.000390431466903984,1.19477763037557e-05,2.40035904049973e-05,1.35876728757367e-07,-1.0910205427983e-07
negative_demand_phi_250,phi_pi = 2.5,2.5,0.8,0.0025,-0.0025,-0.00210167215914003,-0.00216710791358754,-0.00164247108255688,0.00167317030508275,-0.00200253568243723,-0.00059779883273138,-0.0011260599256917,-0.00219724881119221,-0.00112942262594717,-0.00163446611392004,0.00108359539641788,0.000733782311084286,0.000536927373029461,2.80077973597859e-05,-0.00216710791358754,-0.000635286113662814,0.000482191189443926,9.21440390211359e-05,-0.00164247108255688,-0.000299026546635828,-1.12174511975871e-05,-5.59901402452656e-06,0.00167317030508275,-0.00178941897682635,-0.000632005296032164,3.60983965189254e-05,-0.00059779883273138,0.000791318451385706,0.00254069305018409,0.00148797160014684,-6.02817952093382e-05,0.000272862315750522,0.000363390098080396,0.000428997366498929,1.60099372735756e-05,2.47126421608623e-05,-1.27989829845632e-09,-3.78300509140672e-07
negative_demand_strong_inflation_policy,Stronger rule: phi_pi = 3.0,3,0.8,0.0025,-0.0025,-0.00214203960083492,-0.00197863571913193,-0.00145850664015923,0.00148380802106863,-0.00178391814827292,-0.000530944600633201,-0.000916068643847634,-0.00200208238498811,-0.00102672133225823,-0.0014489491170081,0.00112214083018153,0.000764329758806803,0.000561290907716283,2.94392974765634e-05,-0.00197863571913193,-0.000460284892507601,0.000527119210741223,9.26159398157989e-05,-0.00145850664015923,-0.000253399227136519,-1.466275114681e-05,-1.33350947851829e-05,0.00148380802106863,-0.00185073830008241,-0.000590219166042244,4.7149735820054e-05,-0.000530944600633201,0.00101451791475725,0.00263074358924149,0.00146658120827153,-4.68933317124831e-05,0.000297259919523341,0.000384237648917818,0.000458486504646971,1.91150463022538e-05,2.52473613679971e-05,-1.05541144046484e-07,-5.84608833453792e-07
