scenario,label,phi_pi,irf_periods,inflation_volatility,output_volatility,output_desynchronization,inflation_desynchronization,debt_service_desynchronization,weighted_output_desynchronization
negative_demand_phi_110,phi_pi = 1.1,1.1,40,0.328411947933614,0.492009796835639,0.168683667518168,0.00712799266275428,0.236198174292808,0.084341833759084
negative_demand_baseline_policy,Baseline rule: phi_pi = 1.5,1.5,40,0.278848809797268,0.442210055724057,0.181279018622847,0.007612921535842,0.239569125295506,0.0906395093114234
negative_demand_phi_200,phi_pi = 2.0,2,40,0.23497396678637,0.376435842358942,0.198267021519087,0.00831824842564043,0.236373414199489,0.0991335107595435
negative_demand_phi_250,phi_pi = 2.5,2.5,40,0.202374788617447,0.331592095565295,0.211165613274343,0.00888811074132045,0.236017201080181,0.105582806637172
negative_demand_strong_inflation_policy,Stronger rule: phi_pi = 3.0,3,40,0.178028735174151,0.300821641468867,0.221085164007548,0.00934280420529809,0.237405052913336,0.110542582003774
