scenario,label,phi_pi,irf_periods,baseline_phi_pi,welfare_national,welfare_low_debt,welfare_high_debt,welfare_ricardian,welfare_htm,cev_national_pct,cev_low_debt_pct,cev_high_debt_pct,cev_ricardian_pct,cev_htm_pct
negative_demand_phi_110,phi_pi = 1.1,1.1,40,1.5,-97.7380698637074,-97.7359450786706,-97.7401946487442,-68.4042801634374,-29.33378970027,-0.00108315681534576,-0.00136092792930032,-0.000805380905694042,0.00079101250308744,-0.00545506974554688
negative_demand_baseline_policy,Baseline rule: phi_pi = 1.5,1.5,40,1.5,-97.7373968110082,-97.7350994170726,-97.7396942049437,-68.4046242002276,-29.3327726107806,0,0,0,0,0
negative_demand_phi_200,phi_pi = 2.0,2,40,1.5,-97.7380153298412,-97.7354992812529,-97.7405313784295,-68.4071895161161,-29.3308258137251,-0.000995395276165434,-0.000643508273773241,-0.00134728392234273,-0.00589780300195852,0.0104431343518896
negative_demand_phi_250,phi_pi = 2.5,2.5,40,1.5,-97.7386187832777,-97.7359415625161,-97.7412960040392,-68.4092520456267,-29.3293667376509,-0.0019665263969848,-0.00135526943895736,-0.00257778303948686,-0.0106391678387718,0.0182714344344359
negative_demand_strong_inflation_policy,Stronger rule: phi_pi = 3.0,3,40,1.5,-97.7391064938159,-97.7363075434257,-97.7419054442062,-68.4108256376747,-29.3282808561413,-0.0027513799351786,-0.00194423314160974,-0.0035585231497548,-0.014256255645978,0.0240982498478037
