scenario,label,phi_pi,max_abs_yagg,max_abs_pinfagg,max_abs_r,max_abs_y_gap,max_abs_pinf_gap,yagg_t1,yagg_t4,yagg_t8,yagg_t12,pinfagg_t1,pinfagg_t4,pinfagg_t8,pinfagg_t12,y_gap_t1,y_gap_t4,y_gap_t8,y_gap_t12,pinf_gap_t1,pinf_gap_t4,pinf_gap_t8,pinf_gap_t12
hawkish_phi_110,phi_pi = 1.1,1.1,0.0022451843651905,0.000453301298042996,7.30454408450765e-05,5.37503548756479e-05,3.63815284132318e-06,0.0022451843651905,-0.000122503676535657,-5.64071524554732e-05,1.67772329631166e-05,0.000453301298042996,-0.000109914730045846,-7.39445564545971e-06,5.18460406984111e-06,5.37503548756479e-05,-2.97745505473124e-05,-1.51229873949221e-05,-1.14582835342159e-05,2.14856311941958e-06,-2.35249485769362e-06,1.21063709124236e-06,1.03461915035297e-07
hawkish_phi_150,phi_pi = 1.5,1.5,0.00226378368285429,0.000478771793264832,9.54076826447103e-05,5.67551088259677e-05,3.62359084171704e-06,0.00226378368285429,-0.000102964419623985,-5.16733477977649e-05,1.6521180771889e-05,0.000478771793264832,-9.83548224622321e-05,-5.6080222842203e-06,7.29079990691162e-06,5.67551088259677e-05,-2.83239139896585e-05,-1.38345954419083e-05,-9.85923552399015e-06,2.49358579385017e-06,-2.37339966357997e-06,1.19378929330782e-06,1.02703487714351e-07
hawkish_phi_200,phi_pi = 2.0,2,0.00225156506960533,0.000482047717593526,0.000120126458802883,5.72237861473646e-05,3.71033491530781e-06,0.00225156506960533,-9.90120260916383e-05,-4.82872208181773e-05,1.72084789906712e-05,0.000482047717593526,-9.17442491924492e-05,-4.54702742092028e-06,7.25270746659845e-06,5.72237861473646e-05,-2.98139340023651e-05,-1.42791348108906e-05,-1.09453775807289e-05,2.385422524398e-06,-2.35956391281267e-06,1.21543384279388e-06,8.12148093221055e-08
hawkish_phi_300,phi_pi = 3.0,3,0.00221009195923116,0.000473359931167261,0.000165766564588443,5.64005993217709e-05,3.92302902096908e-06,0.00221009195923116,-0.00010267939011066,-4.38037413571513e-05,1.90083998827806e-05,0.000473359931167261,-8.35184664512711e-05,-2.61833294046276e-06,6.68319024343944e-06,5.64005993217709e-05,-3.42988836617986e-05,-1.61707884240858e-05,-1.4594726785111e-05,1.89898345648309e-06,-2.30532722333976e-06,1.27459409804409e-06,3.09900640704797e-08
