scenario,label,output_ratio,s1,s2,metric,horizon,developed_irf,less_developed_irf,diff_irf
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,4,-0.00299446009686168,-0.00471564235654631,-0.00172118225968464
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,5,-0.00139516529125548,-0.00170191082033735,-0.000306745529081873
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,6,-0.000237672137641767,0.00024138872977926,0.000479060867421027
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,7,0.000524003482281349,0.00130746656853335,0.000783463086252004
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,8,0.00095899340934108,0.00172214970519528,0.000763156295854203
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,9,0.00114642178484256,0.00170507595266535,0.000558654167822789
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,10,0.00116355399496472,0.00144440542434905,0.000280851429384332
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,11,0.00107749614697,0.00108444388423501,6.94773726500619e-06
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,12,0.000940859603707572,0.000723574323214557,-0.000217285280493015
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,13,0.000790792643900043,0.000419133786003029,-0.000371658857897014
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,14,0.000650369931275582,0.000196005349380399,-0.000454364581895184
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,15,0.000531300790122466,5.63257162012332e-05,-0.000474975073921233
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,16,0.000437092452134302,-1.14804935640311e-05,-0.000448572945698333
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,17,0.000366058691965571,-2.53495961313605e-05,-0.000391408288096931
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,18,0.000313818020821796,-4.28840467706082e-06,-0.000318106425498857
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,19,0.00027513594044197,3.49213409937543e-05,-0.000240214599448216
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,20,0.000245116109541463,7.93501569319316e-05,-0.000165765952609531
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,21,0.000219836076613036,0.000120316633492337,-9.95194431206992e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,22,0.000196564314700637,0.000152992165604673,-4.35721490959634e-05
scale_development_y100,Y1/Y2 = 1.0,1,0.5,0.5,Fiscal space,23,0.000173700253547418,0.000175592853607215,1.89260005979686e-06
